#{"t_start": 1765325655.7412353, "env_id": "Chess-v0"}
r,l,t
-1.0,22,9786.557034
-1.0,6,9789.114684
-1.0,29,9800.596672
-1.0,8,9804.348742
-1.0,16,9810.96875
-1.0,27,9821.833934
-1.0,5,9824.066419
-1.0,22,9833.501019
-1.0,25,9843.908658
-1.0,37,9859.408732
-1.0,22,9868.341649
-1.0,26,9879.306517
-1.0,16,9885.505834
-1.0,6,9888.102136
-1.0,15,9894.539588
-1.0,25,9904.550321
-1.0,16,9911.579051
-1.0,26,9921.890132
-1.0,30,9934.897039
-1.0,15,9941.300632
-1.0,14,9947.041027
-1.0,17,9953.874034
-1.0,14,9959.645671
-1.0,20,9967.900777
-1.0,11,9972.781809
-1.0,25,9983.299979
-1.0,19,9991.728982
-1.0,32,10004.130668
-1.0,11,10009.01778
-1.0,21,10017.791353
-1.0,12,10023.435741
-1.0,10,10027.808882
-1.0,15,10033.949929
-1.0,10,10039.002967
-1.0,33,10052.212616
-1.0,15,10057.980845
-1.0,19,10066.387557
-1.0,31,10078.578134
-1.0,26,10089.117723
-1.0,26,10100.141612
-1.0,51,10119.039994
-1.0,27,10130.155781
-1.0,38,10145.782589
-1.0,11,10150.990673
-1.0,40,10166.247742
-1.0,10,10170.566738
-1.0,15,10177.611021
-1.0,27,10188.741733
-1.0,27,10199.765757
-1.0,6,10202.202793
-1.0,6,10204.867281
-1.0,32,10217.324315
-1.0,2,10218.361899
-1.0,19,10226.088916
-1.0,30,10238.906302
-1.0,26,10249.183946
-1.0,20,10257.665459
-1.0,51,10278.10569
-1.0,24,10288.297182
-1.0,25,10298.890973
-1.0,10,10303.30339
-1.0,27,10314.270795
-1.0,25,10325.011949
-1.0,34,10338.367941
-1.0,23,10348.742003
-1.0,15,10355.610779
-1.0,30,10367.02584
-1.0,31,10380.009765
-1.0,17,10386.904048
-1.0,13,10392.562945
-1.0,34,10405.347919
-1.0,21,10414.459802
-1.0,12,10419.524723
-1.0,23,10429.80218
-1.0,22,10438.304745
-1.0,35,10451.929887
-1.0,22,10460.648869
-1.0,25,10471.54678
-1.0,30,10483.050986
-1.0,6,10485.998755
-1.0,20,10494.226898
-1.0,45,10512.858968
-1.0,27,10524.146433
-1.0,30,10536.571805
-1.0,15,10542.993497
-1.0,26,10553.949945
-1.0,34,10568.998722
-1.0,14,10575.000567
-1.0,44,10591.889139
-1.0,24,10601.608537
-1.0,19,10609.625907
-1.0,20,10617.378648
-1.0,28,10631.098417
-1.0,28,10641.924155
-1.0,18,10649.226889
-1.0,13,10654.704664
-1.0,24,10664.198021
-1.0,8,10667.508922
-1.0,43,10684.475753
-1.0,14,10690.678817
-1.0,27,10701.283912
-1.0,18,10708.475814
-1.0,29,10720.573843
-1.0,26,10732.286186
-1.0,14,10738.510913
-1.0,14,10744.562415
-1.0,14,10750.445821
-1.0,20,10758.773734
-1.0,11,10763.365987
-1.0,9,10766.980421
-1.0,16,10773.562393
-1.0,16,10780.508104
-1.0,32,10792.956879
-1.0,23,10802.108746
-1.0,8,10805.910868
-1.0,11,10811.279327
-1.0,24,10821.159234
-1.0,34,10834.276791
-1.0,23,10844.270483
-1.0,41,10859.704935
-1.0,32,10871.862322
-1.0,9,10876.179104
-1.0,21,10885.023789
-1.0,4,10886.717015
-1.0,15,10893.323766
-1.0,28,10904.41885
-1.0,44,10921.343702
-1.0,15,10928.032934
-1.0,34,10941.063714
-1.0,12,10946.603137
-1.0,23,10956.412838
-1.0,16,10963.410864
-1.0,29,10975.974339
-1.0,17,10982.817873
-1.0,28,10994.817046
-1.0,7,10997.871764
-1.0,34,11011.901685
-1.0,18,11019.624052
-1.0,25,11030.633527
-1.0,15,11037.071907
-1.0,11,11041.771756
-1.0,27,11053.049803
-1.0,27,11065.064406
-1.0,49,11083.500908
-1.0,31,11096.467854
-1.0,28,11108.878038
-1.0,29,11120.582816
-1.0,25,11131.381802
-1.0,39,11146.526837
-1.0,43,11162.797172
-1.0,26,11173.512351
-1.0,19,11181.652263
-1.0,26,11193.233807
-1.0,22,11202.39475
-1.0,22,11211.717739
-1.0,21,11221.243118
-1.0,19,11229.20362
-1.0,13,11234.571532
-1.0,16,11241.338407
-1.0,15,11248.250984
-1.0,34,11262.245795
-1.0,24,11271.89116
-1.0,17,11279.709648
-1.0,13,11284.935798
-1.0,38,11299.519441
-1.0,10,11304.042047
-1.0,44,11319.977821
-1.0,24,11329.686578
-1.0,18,11337.561136
-1.0,38,11353.572136
-1.0,14,11360.000707
-1.0,10,11364.491406
-1.0,34,11378.273798
-1.0,19,11386.433882
-1.0,19,11394.509561
-1.0,26,11406.175777
-1.0,39,11422.977842
-1.0,32,11437.827426
-1.0,17,11445.510602
-1.0,19,11454.593704
-1.0,43,11472.419338
-1.0,25,11484.262997
-1.0,20,11493.589795
-1.0,32,11506.496788
-1.0,40,11523.335361
-1.0,16,11529.751015
-1.0,25,11540.531009
-1.0,16,11547.132006
-1.0,31,11559.541144
-1.0,18,11567.490425
-1.0,12,11572.591487
-1.0,20,11581.062832
-1.0,15,11587.689743
-1.0,11,11592.150649
-1.0,30,11604.658228
-1.0,25,11615.935078
-1.0,15,11622.300179
-1.0,30,11634.052154
-1.0,14,11640.374051
-1.0,38,11654.577918
-1.0,33,11668.182592
-1.0,22,11676.837383
-1.0,50,11694.760283
-1.0,43,11712.243091
-1.0,11,11716.896726
-1.0,19,11724.290194
-1.0,22,11732.71509
-1.0,18,11740.083046
-1.0,31,11752.240086
-1.0,27,11763.11307
-1.0,7,11765.919169
-1.0,20,11774.287604
-1.0,25,11784.673161
-1.0,12,11789.572373
-1.0,13,11794.957295
-1.0,20,11803.37148
-1.0,12,11808.54042
-1.0,48,11827.013397
-1.0,20,11834.396381
-1.0,23,11844.108818
-1.0,26,11854.420041
-1.0,31,11866.407098
-1.0,31,11878.716129
-1.0,28,11889.717338
-1.0,16,11896.300066
-1.0,19,11904.562595
-1.0,13,11910.094424
-1.0,53,11930.712316
-1.0,28,11942.0978
-1.0,16,11948.823591
-1.0,15,11955.061188
-1.0,16,11961.538181
-1.0,11,11966.210146
-1.0,17,11973.542735
-1.0,23,11982.512225
-1.0,31,11995.015713
-1.0,17,12001.579405
-1.0,20,12010.078628
-1.0,5,12012.202286
-1.0,27,12023.197614
-1.0,14,12029.163305
-1.0,7,12032.132268
-1.0,18,12040.013087
-1.0,35,12053.007279
-1.0,16,12059.073931
-1.0,31,12071.305262
-1.0,14,12077.370814
-1.0,10,12081.980194
-1.0,16,12088.932294
-1.0,32,12102.442253
-1.0,29,12114.486766
-1.0,30,12126.727303
-1.0,9,12130.538306
-1.0,21,12138.974044
-1.0,11,12144.119151
-1.0,38,12158.788129
-1.0,17,12166.096062
-1.0,13,12171.607098
-1.0,20,12180.02835
-1.0,24,12189.386272
-1.0,19,12197.324377
-1.0,18,12205.185518
-1.0,18,12212.947194
-1.0,33,12226.002539
-1.0,24,12235.805495
-1.0,26,12246.284233
-1.0,14,12252.458674
-1.0,19,12261.148515
-1.0,17,12268.769238
-1.0,46,12286.570636
-1.0,25,12296.067852
-1.0,24,12306.354299
-1.0,13,12313.369185
-1.0,25,12323.255182
-1.0,23,12332.822337
-1.0,22,12342.377532
-1.0,41,12357.625302
-1.0,7,12360.355299
-1.0,20,12368.888885
-1.0,31,12382.232612
-1.0,20,12390.411054
-1.0,31,12403.652158
-1.0,15,12409.955113
-1.0,35,12424.343174
-1.0,25,12434.78103
-1.0,37,12449.240132
-1.0,24,12458.8293
-1.0,20,12467.056272
-1.0,19,12474.829471
-1.0,14,12480.844264
-1.0,12,12486.013413
-1.0,34,12499.399795
-1.0,11,12504.098182
-1.0,10,12508.59255
-1.0,15,12514.79549
-1.0,34,12529.086658
-1.0,9,12533.075581
-1.0,16,12540.210163
-1.0,40,12555.120084
-1.0,16,12561.411402
-1.0,32,12574.173033
-1.0,19,12582.458174
-1.0,22,12592.448678
-1.0,27,12603.476235
-1.0,33,12617.394831
-1.0,20,12625.500256
-1.0,26,12636.459573
-1.0,23,12646.077352
-1.0,20,12654.290029
-1.0,32,12666.530293
-1.0,44,12684.44572
-1.0,36,12698.615154
-1.0,39,12713.741256
-1.0,50,12732.661098
-1.0,44,12749.58713
-1.0,18,12756.651141
-1.0,20,12764.286964
-1.0,18,12772.229336
-1.0,22,12781.13512
-1.0,19,12789.479996
-1.0,32,12802.436394
-1.0,26,12813.292103
-1.0,41,12829.315015
-1.0,26,12840.712194
-1.0,20,12848.840666
-1.0,17,12856.562398
-1.0,13,12862.130605
-1.0,12,12867.486157
-1.0,29,12879.932702
-1.0,21,12888.614288
-1.0,13,12894.006663
-1.0,21,12903.228523
-1.0,23,12912.898201
-1.0,21,12921.436037
-1.0,20,12929.583679
-1.0,14,12935.35158
-1.0,19,12943.257895
-1.0,35,12957.535039
-1.0,21,12966.533622
-1.0,22,12975.684339
-1.0,25,12985.871401
-1.0,8,12989.65905
-1.0,12,12994.918031
-1.0,22,13004.221789
-1.0,29,13015.312382
-1.0,18,13022.652536
-1.0,55,13043.045298
-1.0,29,13055.503285
-1.0,24,13065.4172
-1.0,17,13072.592046
-1.0,8,13076.411644
-1.0,35,13091.049323
-1.0,11,13095.303409
-1.0,24,13105.005601
-1.0,7,13108.247316
-1.0,30,13121.7939
-1.0,12,13126.714662
-1.0,25,13136.544209
-1.0,28,13148.034695
-1.0,10,13152.275968
-1.0,11,13158.072321
-1.0,17,13165.393657
-1.0,21,13173.508705
-1.0,26,13184.080992
-1.0,26,13194.680377
-1.0,43,13210.27928
-1.0,8,13213.657289
-1.0,32,13227.084237
-1.0,22,13236.247081
-1.0,14,13242.24776
-1.0,28,13254.153282
-1.0,10,13258.742358
-1.0,19,13266.312355
-1.0,52,13285.886065
-1.0,21,13294.3258
-1.0,13,13299.899334
-1.0,16,13306.181081
-1.0,9,13309.806453
-1.0,14,13315.793193
-1.0,32,13328.395506
-1.0,10,13332.649179
-1.0,17,13340.245697
-1.0,21,13348.909083
-1.0,23,13358.567687
-1.0,22,13368.206004
-1.0,9,13372.184327
-1.0,27,13382.337113
-1.0,19,13389.646342
-1.0,28,13400.665596
-1.0,13,13406.162468
-1.0,28,13418.139183
-1.0,13,13423.535162
-1.0,19,13431.427971
-1.0,11,13436.271349
-1.0,25,13446.399267
-1.0,16,13453.611316
-1.0,18,13460.864714
-1.0,38,13476.375854
-1.0,16,13483.364273
-1.0,21,13492.0106
-1.0,17,13498.728127
-1.0,31,13511.805816
-1.0,29,13524.278137
-1.0,22,13533.778733
-1.0,15,13540.01076
-1.0,19,13547.301227
-1.0,37,13562.278034
-1.0,22,13572.079261
-1.0,30,13584.305271
-1.0,28,13595.334364
-1.0,30,13608.094779
-1.0,23,13617.384332
-1.0,26,13627.597259
-1.0,16,13635.146325
-1.0,13,13640.708233
-1.0,2,13641.713111
-1.0,30,13654.026114
-1.0,22,13663.062023
-1.0,19,13670.972999
-1.0,26,13681.395775
-1.0,15,13687.862698
-1.0,14,13693.681269
-1.0,11,13698.094323
-1.0,16,13704.949406
-1.0,16,13711.301292
-1.0,23,13720.389957
-1.0,33,13733.138183
-1.0,24,13742.926085
-1.0,32,13755.511606
-1.0,27,13766.583297
-1.0,23,13775.529546
-1.0,32,13788.393761
-1.0,6,13791.105376
-1.0,29,13803.162385
-1.0,25,13813.151262
-1.0,12,13818.127342
-1.0,24,13828.279579
-1.0,37,13843.078383
-1.0,35,13857.022021
-1.0,20,13864.722108
-1.0,20,13873.138195
-1.0,11,13877.613118
-1.0,24,13887.776656
-1.0,28,13900.06844
-1.0,20,13908.575958
-1.0,25,13918.562633
-1.0,10,13923.22336
-1.0,31,13935.753262
-1.0,17,13942.903641
-1.0,18,13950.710058
-1.0,3,13952.113233
-1.0,19,13960.167123
-1.0,21,13969.510063
-1.0,43,13984.816286
-1.0,23,13995.618174
-1.0,17,14002.802177
-1.0,22,14011.378342
-1.0,12,14016.972677
-1.0,20,14025.501318
-1.0,22,14034.790672
-1.0,25,14045.2506
-1.0,13,14050.756198
-1.0,34,14063.704295
-1.0,12,14068.844131
-1.0,33,14082.565692
-1.0,7,14085.344394
-1.0,24,14094.998359
-1.0,19,14103.001266
-1.0,17,14110.536004
-1.0,28,14122.182135
-1.0,20,14130.182501
-1.0,31,14142.770144
-1.0,17,14150.114792
-1.0,24,14159.378779
-1.0,24,14168.497643
-1.0,19,14176.506375
-1.0,20,14184.694252
-1.0,26,14194.466829
-1.0,22,14203.500061
-1.0,15,14209.99033
-1.0,29,14221.93202
-1.0,11,14226.837304
-1.0,49,14245.18423
-1.0,29,14256.466339
-1.0,9,14260.23209
-1.0,34,14274.229132
-1.0,15,14280.294263
-1.0,17,14287.345049
-1.0,14,14293.431743
-1.0,22,14302.772305
-1.0,18,14310.577101
-1.0,20,14318.86806
-1.0,29,14331.325156
-1.0,16,14338.04901
-1.0,24,14348.343021
-1.0,17,14355.213495
-1.0,38,14370.143482
-1.0,44,14385.967422
-1.0,33,14399.330034
-1.0,32,14411.841033
-1.0,33,14424.218339
-1.0,26,14434.853931
-1.0,26,14444.968346
-1.0,28,14456.321095
-1.0,34,14470.207651
-1.0,16,14477.084284
-1.0,25,14486.923251
-1.0,29,14498.533078
-1.0,27,14508.455465
-1.0,20,14516.710847
-1.0,20,14525.015875
-1.0,58,14545.616598
-1.0,17,14552.72153
-1.0,16,14559.619017
-1.0,34,14572.818034
-1.0,34,14585.641344
-1.0,26,14596.648622
-1.0,26,14607.198291
-1.0,15,14613.383175
-1.0,10,14617.823739
-1.0,18,14626.133331
-1.0,29,14637.200318
-1.0,20,14645.207223
-1.0,25,14656.030409
-1.0,34,14669.318355
-1.0,40,14685.387609
-1.0,22,14693.888257
-1.0,16,14700.439567
-1.0,24,14710.532027
-1.0,36,14724.498229
-1.0,45,14745.022508
-1.0,16,14752.313431
-1.0,11,14756.705043
-1.0,31,14770.23453
-1.0,22,14779.047469
-1.0,22,14788.084626
-1.0,45,14805.230321
-1.0,25,14816.911133
-1.0,39,14833.377816
-1.0,14,14839.341536
-1.0,7,14842.408034
-1.0,17,14849.57109
-1.0,25,14860.076857
-1.0,14,14865.864754
-1.0,13,14871.48014
-1.0,24,14881.200043
-1.0,34,14894.096251
-1.0,36,14908.469743
-1.0,15,14914.803609
-1.0,22,14924.273082
-1.0,22,14933.268237
-1.0,15,14939.954873
-1.0,33,14953.228205
-1.0,12,14958.677651
-1.0,34,14972.743163
-1.0,22,14981.782432
-1.0,18,14989.082682
-1.0,10,14993.107044
-1.0,19,15000.882105
-1.0,14,15006.221878
-1.0,25,15016.477049
-1.0,37,15030.371449
-1.0,28,15040.779153
-1.0,24,15050.873403
-1.0,27,15061.780008
-1.0,15,15068.175418
-1.0,19,15075.843961
-1.0,30,15087.827336
-1.0,25,15098.496068
-1.0,33,15111.08104
-1.0,32,15124.132105
-1.0,15,15130.327335
-1.0,23,15139.455044
-1.0,11,15144.825148
-1.0,31,15156.977471
-1.0,25,15166.891537
-1.0,34,15180.846514
-1.0,10,15185.171048
-1.0,23,15195.135707
-1.0,25,15204.291994
-1.0,26,15215.19717
-1.0,22,15223.815036
-1.0,32,15236.059263
-1.0,33,15248.665162
-1.0,24,15258.68997
-1.0,22,15267.801403
-1.0,18,15274.814171
-1.0,25,15284.429614
-1.0,14,15290.215586
-1.0,6,15292.748092
-1.0,26,15303.149871
-1.0,42,15318.26147
-1.0,35,15332.880097
-1.0,30,15344.321257
-1.0,20,15352.13666
-1.0,38,15368.304033
-1.0,39,15382.749746
-1.0,12,15388.001396
-1.0,17,15395.256084
-1.0,35,15410.019634
-1.0,40,15425.908807
-1.0,29,15437.318069
-1.0,16,15444.054011
-1.0,24,15453.724247
-1.0,20,15462.099113
-1.0,29,15473.488089
-1.0,21,15481.890385
-1.0,21,15490.821967
-1.0,9,15494.777033
-1.0,30,15506.325001
-1.0,30,15518.418146
-1.0,28,15530.483022
-1.0,37,15544.157974
-1.0,26,15553.651926
-1.0,23,15562.866025
-1.0,24,15572.706197
-1.0,31,15584.925052
-1.0,32,15597.684254
-1.0,19,15605.782171
-1.0,34,15619.186144
-1.0,31,15631.240362
-1.0,18,15638.293311
-1.0,22,15647.059484
-1.0,35,15662.629297
-1.0,22,15672.412431
-1.0,16,15679.263471
-1.0,38,15694.457578
-1.0,37,15708.479693
-1.0,9,15712.56229
-1.0,13,15717.893186
-1.0,18,15725.497407
-1.0,34,15739.345227
-1.0,53,15758.957562
-1.0,30,15770.715771
-1.0,28,15782.588088
-1.0,23,15791.734098
-1.0,26,15802.557109
-1.0,16,15809.531626
-1.0,32,15822.466064
-1.0,24,15832.140074
-1.0,24,15842.09885
-1.0,24,15852.15132
-1.0,24,15863.389445
-1.0,20,15871.593725
-1.0,22,15880.711717
-1.0,31,15893.361216
-1.0,36,15907.438446
-1.0,12,15912.651054
-1.0,39,15927.540209
-1.0,20,15935.746013
-1.0,13,15940.623657
-1.0,31,15952.851987
-1.0,33,15966.309519
-1.0,17,15973.909694
-1.0,15,15980.672298
-1.0,30,15993.009011
-1.0,16,16000.050525
-1.0,53,16019.85673
-1.0,14,16025.446392
-1.0,11,16029.735201
-1.0,23,16039.465716
-1.0,19,16047.919135
-1.0,20,16056.592299
-1.0,22,16066.275803
-1.0,24,16076.273125
-1.0,35,16090.001566
-1.0,16,16096.86823
-1.0,32,16109.287701
-1.0,22,16118.109077
-1.0,22,16127.571324
-1.0,43,16144.770818
-1.0,22,16153.965959
-1.0,8,16157.405036
-1.0,31,16170.292634
-1.0,30,16182.110087
-1.0,16,16189.067014
-1.0,30,16201.195216
-1.0,39,16215.712083
-1.0,21,16224.950702
-1.0,23,16233.971359
-1.0,12,16239.239476
-1.0,35,16253.279062
-1.0,32,16265.657385
-1.0,25,16275.597056
-1.0,36,16289.979195
-1.0,16,16296.60343
-1.0,16,16303.573711
-1.0,32,16315.852793
-1.0,37,16329.992174
-1.0,28,16341.008659
-1.0,40,16355.958286
-1.0,6,16358.52331
-1.0,22,16368.600514
-1.0,57,16389.953629
-1.0,14,16395.874434
-1.0,14,16401.845654
-1.0,30,16413.799938
-1.0,42,16429.079031
-1.0,19,16436.674594
-1.0,17,16443.698084
-1.0,15,16450.173848
-1.0,38,16464.225213
-1.0,30,16476.755464
-1.0,12,16483.343579
-1.0,19,16491.041801
-1.0,24,16501.342106
-1.0,45,16519.014279
-1.0,6,16521.786134
-1.0,17,16528.87214
-1.0,24,16539.167345
-1.0,21,16547.84861
-1.0,24,16558.567138
-1.0,23,16568.300338
-1.0,13,16574.279522
-1.0,28,16585.148536
-1.0,31,16597.50478
-1.0,45,16614.643669
-1.0,23,16624.277722
-1.0,15,16630.609682
-1.0,14,16636.916533
-1.0,35,16650.835711
-1.0,22,16660.21318
-1.0,31,16672.780802
-1.0,36,16686.053479
-1.0,26,16696.595903
-1.0,21,16705.286437
-1.0,44,16722.765392
-1.0,21,16731.092928
-1.0,34,16744.170404
-1.0,40,16759.849572
-1.0,23,16769.889506
-1.0,29,16781.694139
-1.0,9,16785.429663
-1.0,9,16789.13914
-1.0,21,16797.847568
-1.0,35,16811.52623
-1.0,40,16826.746523
-1.0,13,16832.292148
-1.0,12,16837.378955
-1.0,26,16848.128684
-1.0,15,16854.591912
-1.0,23,16863.719345
-1.0,46,16880.692729
-1.0,14,16886.682483
-1.0,19,16894.248305
-1.0,22,16902.461191
-1.0,14,16908.479269
-1.0,23,16917.354336
-1.0,18,16925.032503
-1.0,21,16934.191007
-1.0,14,16940.295987
-1.0,28,16951.441552
-1.0,27,16962.497751
-1.0,12,16967.659983
-1.0,9,16971.686393
-1.0,15,16977.957486
-1.0,18,16985.313396
-1.0,24,16995.352388
-1.0,26,17006.220946
-1.0,12,17011.180573
-1.0,23,17020.552256
-1.0,14,17026.404452
-1.0,29,17038.162761
-1.0,29,17050.107242
-1.0,42,17065.262996
-1.0,24,17074.358997
-1.0,22,17083.584645
-1.0,26,17093.509488
-1.0,16,17100.614632
-1.0,30,17112.764402
-1.0,36,17126.176937
-1.0,20,17135.212605
-1.0,19,17143.667508
-1.0,12,17148.935474
-1.0,15,17155.087741
-1.0,18,17163.162534
-1.0,20,17171.304747
-1.0,10,17175.458351
-1.0,25,17186.124484
-1.0,19,17193.978068
-1.0,21,17202.549433
-1.0,33,17216.605633
-1.0,15,17223.137484
-1.0,18,17230.985697
-1.0,37,17245.574462
-1.0,39,17260.45764
-1.0,36,17274.261524
-1.0,20,17282.35771
-1.0,18,17290.410611
-1.0,39,17306.121729
-1.0,49,17325.27131
-1.0,16,17332.160955
-1.0,20,17341.279536
-1.0,19,17349.32282
-1.0,21,17358.297197
-1.0,33,17371.716631
-1.0,24,17381.593236
-1.0,12,17386.762542
-1.0,27,17397.458441
-1.0,41,17412.668346
-1.0,22,17421.082085
-1.0,30,17433.005612
-1.0,55,17452.816959
-1.0,21,17462.044723
-1.0,32,17474.673462
-1.0,14,17480.831242
-1.0,20,17488.678792
-1.0,22,17497.769806
-1.0,31,17511.012496
-1.0,30,17523.983654
-1.0,35,17538.094551
-1.0,32,17550.239067
-1.0,9,17554.051744
-1.0,13,17559.260412
-1.0,17,17566.757704
-1.0,12,17571.96344
-1.0,28,17584.267537
-1.0,39,17599.789633
-1.0,30,17611.181117
-1.0,52,17631.484428
-1.0,38,17646.248492
-1.0,9,17650.359593
-1.0,14,17656.095525
-1.0,19,17664.114424
-1.0,24,17674.181327
-1.0,43,17690.642668
-1.0,35,17704.066556
-1.0,24,17713.980343
-1.0,33,17727.201722
-1.0,32,17739.510286
-1.0,20,17747.51345
-1.0,25,17757.752584
-1.0,10,17762.30256
-1.0,29,17773.771297
-1.0,23,17783.382753
-1.0,31,17795.811711
-1.0,33,17809.393968
-1.0,28,17820.114737
-1.0,36,17834.405129
-1.0,21,17842.154912
-1.0,34,17856.14266
-1.0,16,17863.091515
-1.0,9,17867.12772
-1.0,22,17876.532359
-1.0,10,17880.846758
-1.0,18,17888.729903
-1.0,22,17897.468683
-1.0,31,17909.927657
-1.0,26,17919.46247
-1.0,16,17926.238933
-1.0,22,17935.508769
-1.0,14,17941.40214
-1.0,22,17950.761431
-1.0,37,17964.812542
-1.0,7,17967.680684
-1.0,19,17976.012111
-1.0,23,17985.544441
-1.0,20,17993.898738
-1.0,6,17996.56936
-1.0,30,18008.649173
-1.0,20,18017.077706
-1.0,21,18025.597603
-1.0,19,18033.937967
-1.0,12,18039.305609
-1.0,31,18052.050426
-1.0,15,18058.476618
-1.0,36,18072.619001
-1.0,39,18089.414041
-1.0,23,18098.88009
-1.0,16,18105.41436
-1.0,27,18115.850432
-1.0,25,18125.97059
-1.0,12,18130.907876
-1.0,20,18138.734121
-1.0,30,18152.282699
-1.0,24,18162.330765
-1.0,18,18169.915524
-1.0,42,18186.84634
-1.0,33,18200.511721
-1.0,17,18207.22832
-1.0,31,18219.102696
-1.0,33,18232.536898
-1.0,26,18243.648822
-1.0,21,18252.417389
-1.0,33,18265.268661
-1.0,14,18271.024644
-1.0,16,18277.855699
-1.0,10,18282.424774
-1.0,27,18293.137509
-1.0,12,18298.035517
-1.0,37,18312.849421
-1.0,11,18317.554607
-1.0,33,18331.130172
-1.0,45,18347.195196
-1.0,5,18349.392913
-1.0,33,18363.191527
-1.0,32,18376.172135
-1.0,20,18383.738494
-1.0,25,18393.134394
-1.0,15,18398.973705
-1.0,22,18408.218922
-1.0,26,18418.994707
-1.0,16,18425.789332
-1.0,31,18438.387699
-1.0,13,18444.237499
-1.0,25,18454.273531
-1.0,16,18460.679654
-1.0,26,18471.463695
-1.0,25,18481.311142
-1.0,9,18485.259519
-1.0,28,18497.129136
-1.0,22,18506.33617
-1.0,19,18514.28173
-1.0,23,18523.672218
-1.0,24,18533.663595
-1.0,21,18542.775478
-1.0,29,18554.29561
-1.0,44,18571.670461
-1.0,27,18583.139395
-1.0,24,18592.787709
-1.0,34,18606.844039
-1.0,36,18620.943734
-1.0,33,18634.76677
-1.0,21,18643.844696
-1.0,27,18654.311521
-1.0,48,18671.898617
-1.0,26,18682.839573
-1.0,14,18688.378843
-1.0,36,18701.558462
-1.0,24,18710.931381
-1.0,42,18727.86203
-1.0,27,18738.714095
-1.0,26,18750.034326
-1.0,25,18760.575634
-1.0,19,18767.998003
-1.0,16,18774.930631
-1.0,20,18783.733394
-1.0,35,18796.984014
-1.0,20,18805.60504
-1.0,19,18813.514195
-1.0,17,18820.350703
-1.0,18,18827.565177
-1.0,19,18835.560695
-1.0,27,18846.24335
-1.0,40,18862.093761
-1.0,34,18874.794653
-1.0,27,18885.235308
-1.0,7,18888.122165
-1.0,25,18898.013269
-1.0,22,18906.78754
-1.0,26,18917.364015
-1.0,30,18929.279849
-1.0,13,18935.18276
-1.0,14,18941.519305
-1.0,36,18956.825332
-1.0,28,18968.619076
-1.0,17,18976.62437
-1.0,9,18980.607153
-1.0,31,18992.926547
-1.0,28,19004.40169
-1.0,21,19012.748449
-1.0,32,19025.333047
-1.0,25,19035.650605
-1.0,53,19055.713461
-1.0,13,19061.085546
-1.0,27,19072.174524
-1.0,18,19079.491477
-1.0,12,19084.856232
-1.0,32,19097.881541
-1.0,22,19106.869745
-1.0,33,19119.758597
-1.0,21,19128.640184
-1.0,29,19140.765678
-1.0,20,19148.913834
-1.0,19,19157.038698
-1.0,36,19171.256505
-1.0,20,19179.611722
-1.0,27,19190.669667
-1.0,15,19196.984046
-1.0,41,19212.540142
-1.0,32,19226.156753
-1.0,34,19239.1396
-1.0,25,19249.371496
-1.0,30,19261.602031
-1.0,33,19274.040811
-1.0,28,19286.014511
-1.0,18,19293.295958
-1.0,33,19305.896338
-1.0,26,19316.201687
-1.0,47,19334.352504
-1.0,10,19338.590253
-1.0,27,19349.002503
-1.0,40,19365.255471
-1.0,25,19376.065731
-1.0,39,19391.596235
-1.0,33,19404.277098
-1.0,37,19418.508401
-1.0,18,19425.930722
-1.0,13,19430.959254
-1.0,29,19442.823297
-1.0,45,19459.49354
-1.0,23,19469.004414
-1.0,33,19481.627916
-1.0,15,19488.845039
-1.0,27,19500.427624
-1.0,36,19514.907659
-1.0,30,19527.64047
-1.0,15,19533.733412
-1.0,26,19543.808435
-1.0,29,19555.760042
-1.0,41,19572.657513
-1.0,32,19585.558057
-1.0,35,19598.835099
-1.0,20,19606.954912
-1.0,26,19617.568716
-1.0,8,19621.319324
-1.0,24,19631.613464
-1.0,20,19640.390055
-1.0,19,19648.512589
-1.0,11,19653.254888
-1.0,27,19664.11543
-1.0,27,19675.679505
-1.0,32,19688.917177
-1.0,15,19695.431972
-1.0,32,19708.090425
-1.0,29,19720.79665
-1.0,34,19734.888369
-1.0,23,19744.896621
-1.0,16,19751.85445
-1.0,23,19761.692488
-1.0,31,19774.113775
-1.0,37,19789.199353
-1.0,24,19799.681439
-1.0,29,19813.283976
-1.0,20,19821.930712
-1.0,43,19838.695563
-1.0,28,19850.371009
-1.0,40,19866.550186
-1.0,33,19880.62449
-1.0,21,19889.528518
-1.0,31,19902.308154
-1.0,22,19911.445538
-1.0,15,19918.062641
-1.0,37,19933.242449
-1.0,22,19942.899371
-1.0,34,19956.604792
-1.0,36,19970.238158
-1.0,22,19979.940468
-1.0,20,19988.253982
-1.0,27,20000.670927
-1.0,18,20008.243418
-1.0,40,20024.069046
-1.0,24,20034.446633
-1.0,19,20042.807955
-1.0,7,20045.999845
-1.0,14,20052.45857
-1.0,13,20057.878483
-1.0,21,20066.439358
-1.0,20,20074.75033
-1.0,26,20085.739651
-1.0,12,20090.595515
-1.0,21,20099.284659
-1.0,19,20107.672688
-1.0,15,20114.073561
-1.0,30,20127.004738
-1.0,27,20139.06531
-1.0,39,20154.566585
-1.0,28,20165.72506
-1.0,20,20174.072567
-1.0,41,20189.968397
-1.0,28,20201.605273
-1.0,20,20210.291476
-1.0,20,20219.236287
-1.0,26,20230.620514
