#{"t_start": 1765325655.7412353, "env_id": "Chess-v0"}
r,l,t
-1.0,5,2299.730384
-1.0,16,2306.743891
-1.0,2,2307.884832
-1.0,17,2316.486726
-1.0,32,2330.407244
-1.0,19,2338.630623
-1.0,9,2342.421958
-1.0,13,2348.379822
-1.0,19,2357.740628
-1.0,8,2361.823779
-1.0,24,2371.930544
-1.0,38,2386.889604
-1.0,11,2391.922902
-1.0,25,2402.799451
-1.0,13,2408.969487
-1.0,2,2409.830671
-1.0,18,2417.924835
-1.0,6,2420.754301
-1.0,7,2424.18313
-1.0,13,2430.038713
-1.0,15,2436.771978
-1.0,33,2451.546024
-1.0,4,2453.301514
-1.0,12,2458.522782
-1.0,27,2470.142359
-1.0,21,2479.364655
-1.0,12,2484.598565
-1.0,29,2497.382711
-1.0,27,2509.511835
-1.0,19,2517.94267
-1.0,29,2529.755234
-1.0,41,2546.107134
-1.0,28,2557.703521
-1.0,16,2564.516912
-1.0,15,2571.130586
-1.0,15,2578.211777
-1.0,18,2585.459896
-1.0,19,2594.178307
-1.0,29,2606.443492
-1.0,33,2619.276426
-1.0,21,2627.893977
-1.0,21,2636.769119
-1.0,19,2644.949391
-1.0,25,2657.802962
-1.0,15,2663.770741
-1.0,31,2677.480535
-1.0,23,2688.020661
-1.0,15,2694.32531
-1.0,33,2708.559911
-1.0,28,2720.533898
-1.0,24,2730.542677
-1.0,27,2742.596925
-1.0,10,2746.936494
-1.0,13,2752.683724
-1.0,13,2758.506773
-1.0,5,2760.906157
-1.0,8,2764.456443
-1.0,22,2773.988015
-1.0,32,2787.296415
-1.0,19,2795.769758
-1.0,27,2808.129429
-1.0,25,2818.883634
-1.0,12,2824.947813
-1.0,12,2830.210553
-1.0,25,2840.803879
-1.0,18,2848.47098
-1.0,24,2858.547097
-1.0,11,2863.752472
-1.0,25,2874.316098
-1.0,19,2882.992857
-1.0,17,2890.404704
-1.0,22,2899.551244
-1.0,17,2907.188111
-1.0,8,2910.842496
-1.0,12,2916.30384
-1.0,37,2932.403025
-1.0,16,2939.854422
-1.0,36,2954.125142
-1.0,28,2965.90647
-1.0,31,2979.605568
-1.0,13,2985.71573
-1.0,17,2993.309621
-1.0,24,3004.537786
-1.0,19,3012.801587
-1.0,10,3017.431628
-1.0,15,3023.819944
-1.0,16,3030.69175
-1.0,15,3036.821298
-1.0,26,3047.627241
-1.0,22,3056.896376
-1.0,16,3064.162891
-1.0,25,3075.253644
-1.0,6,3077.785975
-1.0,23,3087.840421
-1.0,8,3091.015034
-1.0,10,3095.049699
-1.0,29,3107.089348
-1.0,11,3112.43609
-1.0,23,3122.448112
-1.0,32,3136.167843
-1.0,26,3147.773919
-1.0,40,3165.412573
-1.0,8,3169.044093
-1.0,7,3172.303642
-1.0,12,3178.053304
-1.0,9,3182.691514
-1.0,18,3190.400821
-1.0,10,3194.610088
-1.0,29,3208.047154
-1.0,3,3209.27375
-1.0,3,3210.76786
-1.0,20,3219.544809
-1.0,17,3227.55461
-1.0,15,3234.442661
-1.0,19,3242.891804
-1.0,18,3250.838715
-1.0,21,3260.333439
-1.0,25,3270.972848
-1.0,6,3273.604124
-1.0,19,3281.823747
-1.0,31,3294.539889
-1.0,28,3306.947806
-1.0,27,3317.932434
-1.0,34,3331.887804
-1.0,17,3339.801018
-1.0,42,3356.231584
-1.0,22,3364.921679
-1.0,2,3366.002917
-1.0,5,3368.42873
-1.0,20,3377.070395
-1.0,28,3388.844567
-1.0,24,3398.619358
-1.0,27,3409.953468
-1.0,18,3417.836559
-1.0,43,3433.971467
-1.0,21,3443.240166
-1.0,30,3457.12766
-1.0,22,3467.128923
-1.0,16,3474.033447
-1.0,8,3477.291069
-1.0,29,3488.545914
-1.0,10,3493.288743
-1.0,24,3503.509605
-1.0,15,3509.92347
-1.0,27,3521.392776
-1.0,17,3529.397058
-1.0,26,3541.950558
-1.0,16,3548.413575
-1.0,28,3560.36662
-1.0,42,3577.293555
-1.0,14,3583.733691
-1.0,10,3588.327842
-1.0,17,3595.047718
-1.0,25,3605.518042
-1.0,7,3608.859733
-1.0,9,3612.787363
-1.0,22,3622.230796
